[2025-09-11 02:44:31,617: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 02:44:31,617: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 02:44:31,617: INFO: commons: created a directory at: artifacts]
[2025-09-11 02:44:31,617: INFO: commons: created a directory at: artifacts/data_ingestion]
[2025-09-11 02:44:31,617: INFO: data_ingestion: File already exists]
[2025-09-11 02:44:31,728: INFO: data_ingestion: Extracted zip file to artifacts/data_ingestion]
[2025-09-11 02:44:31,728: INFO: main: Data Ingestion stage complete.]
[2025-09-11 02:44:31,728: INFO: main: stage Data Transformation stage initiated]
[2025-09-11 02:44:31,729: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 02:44:31,729: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 02:44:31,730: INFO: commons: created a directory at: artifacts]
[2025-09-11 02:44:31,730: INFO: commons: created a directory at: artifacts/data_ingestion]
[2025-09-11 02:44:31,730: ERROR: main: 'DataIngestionConfig' object has no attribute 'tokenizer_name']
Traceback (most recent call last):
  File "/Users/karandeepsingh/Desktop/MLOps/TextSummarizer/main.py", line 22, in <module>
    data_ingestion_pipeline.initiate_data_transformation()
  File "/Users/karandeepsingh/Desktop/MLOps/TextSummarizer/src/textSummarizer/pipeline/stage_2_data_transformation_pipeline.py", line 12, in initiate_data_transformation
    data_transformation=DataTransformation(config=data_transformation_config)
  File "/Users/karandeepsingh/Desktop/MLOps/TextSummarizer/src/textSummarizer/components/data_transformation.py", line 11, in __init__
    self.tokenizer=AutoTokenizer.from_pretrained(config.tokenizer_name)
AttributeError: 'DataIngestionConfig' object has no attribute 'tokenizer_name'
[2025-09-11 02:48:22,496: INFO: main: stage Data Ingestion stage initiated]
[2025-09-11 02:48:22,497: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 02:48:22,498: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 02:48:22,498: INFO: commons: created a directory at: artifacts]
[2025-09-11 02:48:22,498: INFO: commons: created a directory at: artifacts/data_ingestion]
[2025-09-11 02:48:22,498: INFO: data_ingestion: File already exists]
[2025-09-11 02:48:22,816: INFO: data_ingestion: Extracted zip file to artifacts/data_ingestion]
[2025-09-11 02:48:22,817: INFO: main: Data Ingestion stage complete.]
[2025-09-11 02:48:22,817: INFO: main: stage Data Transformation stage initiated]
[2025-09-11 02:48:22,818: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 02:48:22,818: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 02:48:22,818: INFO: commons: created a directory at: artifacts]
[2025-09-11 02:48:22,818: ERROR: main: 'ConfigurationManager' object has no attribute 'get_data_transforamtion_config']
Traceback (most recent call last):
  File "/Users/karandeepsingh/Desktop/MLOps/TextSummarizer/main.py", line 22, in <module>
    data_transformation_pipeline.initiate_data_transformation()
  File "/Users/karandeepsingh/Desktop/MLOps/TextSummarizer/src/textSummarizer/pipeline/stage_2_data_transformation_pipeline.py", line 11, in initiate_data_transformation
    data_transformation_config=config.get_data_transforamtion_config()
AttributeError: 'ConfigurationManager' object has no attribute 'get_data_transforamtion_config'
[2025-09-11 02:48:49,325: INFO: main: stage Data Ingestion stage initiated]
[2025-09-11 02:48:49,326: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 02:48:49,327: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 02:48:49,327: INFO: commons: created a directory at: artifacts]
[2025-09-11 02:48:49,327: INFO: commons: created a directory at: artifacts/data_ingestion]
[2025-09-11 02:48:49,327: INFO: data_ingestion: File already exists]
[2025-09-11 02:48:49,418: INFO: data_ingestion: Extracted zip file to artifacts/data_ingestion]
[2025-09-11 02:48:49,418: INFO: main: Data Ingestion stage complete.]
[2025-09-11 02:48:49,418: INFO: main: stage Data Transformation stage initiated]
[2025-09-11 02:48:49,419: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 02:48:49,420: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 02:48:49,420: INFO: commons: created a directory at: artifacts]
[2025-09-11 02:48:49,420: INFO: commons: created a directory at: artifacts/data_transformation]
[2025-09-11 02:48:54,746: INFO: main: Data Transformation stage complete.]
[2025-09-11 13:11:21,098: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 13:11:21,133: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 13:11:21,150: INFO: commons: created a directory at: artifacts]
[2025-09-11 13:11:21,158: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 13:13:29,474: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 13:13:29,486: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 13:13:29,487: INFO: commons: created a directory at: artifacts]
[2025-09-11 13:13:29,490: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 13:47:03,727: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 13:47:03,743: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 13:47:03,748: INFO: commons: created a directory at: artifacts]
[2025-09-11 13:47:03,752: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 13:47:19,282: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 13:47:19,285: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 13:47:19,286: INFO: commons: created a directory at: artifacts]
[2025-09-11 13:47:19,287: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 13:49:57,176: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 13:49:57,180: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 13:49:57,180: INFO: commons: created a directory at: artifacts]
[2025-09-11 13:49:57,181: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 14:01:51,386: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 14:01:51,418: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 14:01:51,422: INFO: commons: created a directory at: artifacts]
[2025-09-11 14:01:51,437: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 14:02:53,543: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 14:02:53,608: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 14:02:53,617: INFO: commons: created a directory at: artifacts]
[2025-09-11 14:02:53,646: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 14:03:27,617: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 14:03:27,632: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 14:03:27,637: INFO: commons: created a directory at: artifacts]
[2025-09-11 14:03:27,643: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 14:05:12,432: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 14:05:12,454: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 14:05:12,462: INFO: commons: created a directory at: artifacts]
[2025-09-11 14:05:12,473: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 14:08:33,921: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 14:08:33,937: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 14:08:33,943: INFO: commons: created a directory at: artifacts]
[2025-09-11 14:08:33,946: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 14:26:58,223: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 14:26:58,250: INFO: commons: yaml file: params.yaml loaded successfully]
[2025-09-11 14:26:58,253: INFO: commons: created a directory at: artifacts]
[2025-09-11 14:26:58,258: INFO: commons: created a directory at: artifacts/model_trainer]
[2025-09-11 14:27:56,271: INFO: commons: yaml file: config/config.yaml loaded successfully]
[2025-09-11 14:27:56,311: INFO: commons: yaml file: params.yaml loaded successfully]
